 Simulation_Period = 19980101 -- 20090831
   ID  VAR           Date             OBS_avg             SIM_avg              SIM_sd
  131    1       20020724        0.130570E-03        0.105993E-03        0.645556E-04
  132    1       20020815        0.116680E-03        0.101260E-03        0.621771E-04
  133    1       20020816        0.849660E-04        0.991614E-04        0.599316E-04
  134    1       20020819        0.182020E-04        0.850964E-04        0.529769E-04
  135    1       20020903        0.139190E-03        0.865569E-04        0.562959E-04
  136    1       20020904        0.927850E-04        0.933537E-04        0.602084E-04
  137    1       20020905        0.118310E-03        0.966289E-04        0.657043E-04
  138    1       20020919        0.117780E-03        0.834999E-04        0.516883E-04
  139    1       20020920        0.920720E-04        0.795486E-04        0.475177E-04
  140    1       20021014        0.411040E-04        0.414335E-04        0.219139E-04
  141    1       20021015        0.351900E-04        0.390729E-04        0.202277E-04
  142    1       20030428        0.619720E-04        0.431551E-04        0.234490E-04
  143    1       20030429        0.319110E-04        0.404537E-04        0.212604E-04
  144    1       20030520        0.117320E-03        0.673962E-04        0.381330E-04
  145    1       20030521        0.923750E-04        0.619900E-04        0.355677E-04
  146    1       20030612        0.107570E-03        0.119616E-03        0.682334E-04
  147    1       20030613        0.150730E-03        0.128642E-03        0.751617E-04
  148    1       20030701        0.238210E-03        0.130300E-03        0.752499E-04
  149    1       20030702        0.239610E-03        0.125478E-03        0.687389E-04
  150    1       20030728        0.998870E-04        0.104952E-03        0.557542E-04
  151    1       20030729        0.105520E-03        0.119962E-03        0.715890E-04
  152    1       20030821        0.138350E-03        0.119806E-03        0.698170E-04
  153    1       20030822        0.884100E-04        0.111881E-03        0.639832E-04
  154    1       20030908        0.139530E-05        0.777766E-04        0.493172E-04
  155    1       20030909        0.235050E-05        0.788823E-04        0.500012E-04
  156    1       20031007        0.384880E-04        0.656514E-04        0.298081E-04
  157    1       20031008        0.729350E-04        0.626179E-04        0.256598E-04
  158    1       20040419        0.114700E-03        0.343932E-04        0.166555E-04
  159    1       20040420        0.588890E-04        0.369750E-04        0.185387E-04
  160    1       20040525        0.353720E-04        0.621634E-04        0.369763E-04
  161    1       20040526        0.144280E-04        0.687397E-04        0.399012E-04
  162    1       20040527        0.339050E-04        0.785158E-04        0.482271E-04
  163    1       20040614        0.120340E-03        0.122927E-03        0.750743E-04
  164    1       20040615        0.821520E-04        0.124936E-03        0.730343E-04
  165    1       20040818        0.690010E-04        0.999639E-04        0.578658E-04
  166    1       20040819        0.162460E-04        0.812293E-04        0.427097E-04
  167    1       20040909        0.588350E-04        0.858324E-04        0.470601E-04
  168    1       20040910        0.829440E-04        0.774587E-04        0.360067E-04
  169    1       20050502        0.207480E-04        0.267934E-04        0.146985E-04
  170    1       20050503        0.183500E-04        0.292099E-04        0.152361E-04
  171    1       20050523        0.141290E-03        0.658067E-04        0.400958E-04
  172    1       20050524        0.114160E-03        0.702916E-04        0.445487E-04
  173    1       20050616        0.158590E-03        0.985835E-04        0.561552E-04
  174    1       20050617        0.147210E-03        0.109514E-03        0.644015E-04
  175    1       20050713        0.749940E-04        0.128259E-03        0.795632E-04
  176    1       20050714        0.571740E-04        0.124717E-03        0.762570E-04
  177    1       20050808        0.215580E-04        0.104375E-03        0.739660E-04
  178    1       20050809        0.312440E-04        0.108551E-03        0.761376E-04
  179    1       20050810        0.102330E-03        0.101366E-03        0.723154E-04
  180    1       20050822        0.100000E-05        0.783198E-04        0.445110E-04
  181    1       20050823        0.100000E-05        0.886024E-04        0.547206E-04
  182    1       20050824        0.100000E-05        0.907456E-04        0.569893E-04
  183    1       20050825        0.100000E-05        0.915714E-04        0.621254E-04
  184    1       20050914        0.575060E-04        0.394635E-04        0.412090E-04
  185    1       20050915        0.612440E-04        0.458139E-04        0.488826E-04
  186    1       20050916        0.656740E-04        0.527150E-04        0.541535E-04
  187    1       20051017        0.490800E-04        0.438240E-04        0.149283E-04
  188    1       20051018        0.557850E-04        0.442099E-04        0.142881E-04
  189    1       20051019        0.436260E-04        0.430268E-04        0.143181E-04
  190    1       20060426        0.737890E-04        0.178387E-04        0.145759E-04
  191    1       20060427        0.747630E-04        0.263980E-04        0.176327E-04
  192    1       20060518        0.376070E-04        0.604951E-04        0.349878E-04
  193    1       20060519        0.625610E-04        0.568137E-04        0.295833E-04
  194    1       20060601        0.121500E-03        0.797361E-04        0.422889E-04
  195    1       20060602        0.881630E-04        0.818217E-04        0.425045E-04
  196    1       20060603        0.816660E-04        0.857870E-04        0.455974E-04
  197    1       20060626        0.119500E-03        0.115742E-03        0.679089E-04
  198    1       20060627        0.891860E-04        0.979667E-04        0.604496E-04
  199    1       20060628        0.982160E-04        0.112092E-03        0.658944E-04
  200    1       20060630        0.160140E-03        0.111709E-03        0.670145E-04
  201    1       20060706        0.343390E-04        0.125751E-03        0.762560E-04
  202    1       20060713        0.100000E-05        0.118765E-03        0.707772E-04
  203    1       20060715        0.100000E-05        0.104628E-03        0.635408E-04
  204    1       20060717        0.967590E-05        0.102582E-03        0.595161E-04
  205    1       20060718        0.100000E-05        0.115325E-03        0.685202E-04
  206    1       20060721        0.669550E-04        0.124164E-03        0.793491E-04
  207    1       20060727        0.115610E-03        0.116705E-03        0.859455E-04
  208    1       20060803        0.997280E-04        0.100995E-03        0.724591E-04
  209    1       20060804        0.841120E-04        0.102878E-03        0.710496E-04
  210    1       20060808        0.734160E-04        0.910756E-04        0.609991E-04
  211    1       20060829        0.727910E-04        0.633516E-04        0.614028E-04
  212    1       20060830        0.713690E-04        0.643112E-04        0.621997E-04
  213    1       20060925        0.379220E-04        0.444399E-04        0.479184E-04
  214    1       20060926        0.378520E-04        0.404538E-04        0.454591E-04
  215    1       20061019        0.331450E-04        0.409051E-04        0.876891E-05
  216    1       20061020        0.323310E-04        0.399974E-04        0.758687E-05
  217    1       20070424        0.141500E-03        0.116686E-04        0.833305E-06
  218    1       20070425        0.811880E-04        0.993061E-05        0.401133E-06
  219    1       20070503        0.121990E-03        0.226128E-04        0.911044E-07
  220    1       20070504        0.668970E-04        0.240809E-04        0.296754E-06
  221    1       20070516        0.772250E-04        0.453982E-04        0.107098E-05
  222    1       20070517        0.647740E-04        0.543735E-04        0.184153E-05
  223    1       20070518        0.687040E-04        0.578221E-04        0.624034E-06
  224    1       20070604        0.212580E-03        0.849197E-04        0.458548E-06
  225    1       20070605        0.146710E-03        0.865224E-04        0.339328E-06
  226    1       20070606        0.283170E-03        0.885842E-04        0.415240E-06
  227    1       20070612        0.138070E-03        0.995882E-04        0.438450E-06
  228    1       20070619        0.134080E-03        0.107362E-03        0.104923E-06
  229    1       20070620        0.137130E-03        0.108103E-03        0.149282E-06
  230    1       20070621        0.667700E-04        0.108816E-03        0.141392E-06
  231    1       20070627        0.292360E-04        0.113926E-03        0.667651E-07
  232    1       20070628        0.125300E-03        0.113713E-03        0.147373E-07
  233    1       20070705        0.218260E-03        0.117788E-03        0.797417E-07
  234    1       20070711        0.163700E-03        0.117485E-03        0.152414E-06
  235    1       20070718        0.140500E-03        0.120975E-03        0.135855E-07
  236    1       20070719        0.106100E-03        0.120148E-03        0.173604E-06
  237    1       20070720        0.143180E-03        0.119539E-03        0.124611E-06
  238    1       20070726        0.844680E-05        0.110016E-03        0.581433E-06
  239    1       20070802        0.562480E-04        0.105739E-03        0.102839E-05
  240    1       20070809        0.100000E-05        0.105747E-03        0.399674E-06
  241    1       20070816        0.124540E-03        0.891038E-04        0.165840E-06
  242    1       20070817        0.833220E-04        0.847172E-04        0.168673E-06
  243    1       20070829        0.821500E-04        0.638401E-04        0.935688E-07
  244    1       20070904        0.104990E-03        0.634847E-04        0.214687E-06
  245    1       20070905        0.102190E-03        0.624422E-04        0.218146E-06
  246    1       20070912        0.548990E-04        0.598354E-04        0.377139E-06
  247    1       20070927        0.888650E-04        0.346443E-04        0.262217E-06
  248    1       20070928        0.500980E-04        0.324078E-04        0.220385E-06
  249    1       20071022        0.573540E-04        0.240765E-04        0.577875E-07
  250    1       20071023        0.514630E-04        0.233160E-04        0.603994E-07
  251    1       20071024        0.480310E-04        0.235257E-04        0.601722E-07
  252    1       20071025        0.753570E-04        0.237276E-04        0.563618E-07
  253    1       20080508        0.728500E-04        0.303500E-04        0.160606E-06
  254    1       20080509        0.570600E-04        0.300978E-04        0.179736E-06
  255    1       20080528        0.762140E-04        0.508938E-04        0.995529E-07
  256    1       20080604        0.766820E-04        0.558439E-04        0.108574E-06
  257    1       20080609        0.122830E-03        0.662417E-04        0.153504E-06
  258    1       20080610        0.606300E-04        0.714020E-04        0.113739E-07
  259    1       20080624        0.137640E-03        0.783181E-04        0.283633E-06
  260    1       20080625        0.935890E-04        0.825740E-04        0.131520E-06
  261    1       20080702        0.468140E-04        0.820623E-04        0.539754E-07
  262    1       20080722        0.143440E-03        0.121610E-03        0.350688E-07
  263    1       20080723        0.128020E-03        0.122486E-03        0.821094E-07
  264    1       20080730        0.167490E-03        0.114329E-03        0.107818E-06
  265    1       20080814        0.833600E-04        0.123153E-03        0.536979E-07
  266    1       20080815        0.808350E-04        0.122057E-03        0.180342E-06
  267    1       20080828        0.118290E-03        0.115502E-03        0.246642E-06
  268    1       20080904        0.804660E-04        0.108572E-03        0.276667E-06
  269    1       20080905        0.632340E-04        0.106467E-03        0.344734E-06
  270    1       20080909        0.533300E-04        0.104563E-03        0.162632E-06
  271    1       20081001        0.724430E-04        0.724621E-04        0.360247E-06
  272    1       20081002        0.628670E-04        0.709441E-04        0.294590E-06
  273    1       20081028        0.360780E-04        0.401341E-04        0.301566E-07
  274    1       20081029        0.358090E-04        0.392936E-04        0.144029E-06
  275    1       20081030        0.311170E-04        0.391621E-04        0.300596E-07
  276    1       20090510        0.620890E-04        0.319417E-04        0.117803E-06
  277    1       20090603        0.253980E-04        0.508118E-04        0.141908E-06
  278    1       20090604        0.257530E-04        0.524949E-04        0.177950E-06
  279    1       20090629        0.106710E-03        0.100897E-03        0.666053E-06
  280    1       20090630        0.969920E-04        0.101100E-03        0.173975E-06
  281    1       20090728        0.937920E-04        0.108056E-03        0.458916E-06
  282    1       20090729        0.693350E-04        0.108671E-03        0.113278E-06
  283    1       20090812        0.156390E-03        0.114675E-03        0.480107E-07
  284    1       20090831        0.606180E-04        0.109950E-03        0.589427E-07
  285    2       20000101        0.330000E-01        0.348896E-01        0.656303E-02
  286    3       20000101        0.160000E+01        0.148051E+01        0.328959E-01
  287    4         199808        0.295000E-03        0.843088E-04        0.545675E-04
  288    4         199906        0.292000E-03        0.827649E-04        0.466916E-04
  289    4         199908        0.293000E-03        0.937149E-04        0.252577E-04
  290    4         200006        0.478000E-03        0.146229E-03        0.123559E-03
  291    4         200106        0.400000E-03        0.277191E-03        0.239852E-03
  292    4         200108        0.398000E-03        0.170569E-03        0.559742E-04
  293    4         200206        0.314000E-03        0.352406E-03        0.437715E-03
  294    4         200208        0.293000E-03        0.112011E-03        0.368096E-04
  295    5         199808        0.282000E-03        0.842100E-04        0.525880E-04
  296    5         199906        0.649000E-04        0.807548E-04        0.935021E-04
  297    5         199908        0.157000E-03        0.258459E-04        0.524235E-05
  298    5         200006        0.200000E-03        0.510981E-04        0.905116E-04
  299    5         200106        0.339000E-04        0.840531E-04        0.127451E-03
  300    5         200108        0.179000E-03        0.148284E-04        0.629977E-05
  301    5         200206        0.856000E-04        0.529916E-04        0.878277E-04
  302    5         200208        0.124000E-03        0.704718E-05        0.248061E-05
  303    6       20000101        0.308000E-07        0.318124E-07        0.299369E-07
  304    7           1998        0.573080E-05        0.465104E-05        0.292474E-05
  305    7           1999        0.345530E-05        0.288445E-05        0.234517E-05
  306    7           2000        0.361800E-05        0.219049E-05        0.185193E-05
  307    7           2001        0.276220E-05        0.258898E-05        0.180516E-05
  308    7           2002        0.789300E-05        0.229230E-05        0.191655E-05
  309    7           2003        0.469720E-05        0.255535E-05        0.190456E-05
  310    7           2004        0.261940E-05        0.252601E-05        0.182686E-05
  311    7           2005        0.465550E-05        0.227910E-05        0.179316E-05
  312    7           2006        0.412580E-05        0.219897E-05        0.176184E-05
  313    7           2007        0.300440E-05        0.192358E-05        0.188569E-05
  314    8       20000101        0.200000E-05        0.174677E-05        0.193181E-05
  315    9           1998        0.468140E-05        0.506494E-05        0.376986E-05
  316    9           1999        0.286210E-05        0.168791E-05        0.682705E-06
  317    9           2000        0.333040E-05        0.106478E-05        0.378600E-06
  318    9           2001        0.278330E-05        0.847268E-06        0.239159E-06
  319    9           2002        0.529080E-05        0.509331E-06        0.208650E-06
  320    9           2003        0.365670E-05        0.788890E-06        0.341617E-06
  321    9           2004        0.293430E-05        0.685333E-06        0.210610E-06
  322    9           2005        0.516730E-05        0.778321E-06        0.665453E-06
  323    9           2006        0.312210E-05        0.922511E-06        0.542808E-06
  324    9           2007        0.307600E-05        0.108529E-05        0.808436E-06

OBJ-FUNCTIONS & PARAMETERS:
    fOBJ (best=0) =     0.3871
      Observations:     Rh        MBC       SOC       NH4       NO3+NO2   NFix      Nmn_net   Nim_VG    Nitrif    
          fOBJ[i] =     0.6216    0.0000    0.0747    0.5286    0.6715    0.0000    0.0000    0.0000    0.0000
   fOBJ_weight[i] =     0.0000    0.0000    0.0000    0.3226    0.3226    0.1613    0.0645    0.0645    0.0645

             LF0              r0             fRa            fINP              VP             KP1             fKM            PAR2            Qmax             Kba            Kdes              rE             pEP            fpEM              fD              gD              Vg           alpha              KD              Yg            Ygsl             Q10           gamma            beta           WPA2D             tau           wdorm         VNup_MB        KsNH4_MB        KsNO3_MB            VNif            VNit         VDenit1          fpENZN           KsNif           KsNit        KsDenit1        KsDenit2         VNup_VG        KsNH4_VG        KsNO3_VG         rNleach         bNup_VG        Qmax_NH4         Kba_NH4            Kp2u            Ku2p
     0.10000000,     0.01000000,     0.20000000,     0.30000000,    50.00000000,    60.00000000,    10.00000000,   999.00000000,     1.50000000,     6.00000000,     0.00600000,     0.00012289,     0.00147568,     4.50361918,     0.75000000,     0.50000000,     0.00425194,     0.05012233,     0.00010034,     0.20109320,     0.00520677,     1.80000000,     0.01030726,     0.00100000,     0.46000000,     0.39000000,     3.38000000,     0.10000000,     0.00018000,     0.00041000,     0.06350410,   185.28188371,     0.86952628,     1.00000000,     0.10000000,     0.00120000,     0.00180000,     0.00180000,     0.00003296,     0.00120000,     0.00180000,     0.02000000,     0.50000000,     0.00574420,   100.00000000,     0.00000500,     0.00100000,
